Stratum,Penetration,Altitude,SpeciesCode,North,East
3032527,218,172,angaus,6311741,2753045
13011500,79,490,anguil,5857478,2525571
3014476,93,16,nospec,6394887,2706247
13011500,79,490,galvul,5857478,2525571
12030280,49,85,gobcot,5842400,2385100
2005635,6,30,angdie,6480800,2650400
12019415,143,340,saltru,5901800,2448100
12032450,11,100,angdie,5834200,2356700
3017058,113,19,hyrmen,6380470,2710130
9005874,18,150,galfas,6026200,2680900
6003738,22,173,angdie,6229100,2608900
13043644,90,360,gobbre,5750800,2416600
13523560,63,275,gobbre,5588362,2314742
3024594,190,160,parane,6341800,2691000
10006439,12,160,parane,6015210,2501082
13051457,0,5,gobhub,5724000,2501500
13052146,76,535,saltru,5720791,2361174
13009117,174,695,gobbre,5868300,2507100
9005308,16,140,galbre,6027900,2685200
14033856,26,220,parcur,5556400,2330200
3007911,15,20,galmac,6429803,2671502
13061543,6,30,gobbre,5681100,2400600
14058432,7,240,nospec,5488200,2317200
9013117,0,20,galmac,5994350,2648278
3013320,85,12,neodiv,6400800,2697600
9000255,1,2,retret,6050600,2689200
13043079,9,10,gobiom,5750952,2478476
3007013,20,15,galmac,6433479,2673454
15066464,4,141,gobhut,5345600,2118900
12010321,6,5,angdie,5937718,2390691
9015369,0,3,angaus,5983300,2657100
4001059,2,10,angaus,6385300,2785400
14017643,248,612,galano,5592397,2265899
9007534,89,100,nospec,6019625,2728329
3015814,104,15,scaery,6387357,2704371
14031958,193,323,saltru,5560079,2231122
14014276,258,480,saltru,5603800,2239300
3015080,104,20,angaus,6390908,2712828
3010709,64,10,parane,6416300,2693800
1010353,34,210,nospec,6642979,2588664
3002899,2,5,galfas,6464200,2763200
3033454,14,50,parcur,6310900,2661200
14071622,11,19,galmac,5423269,2257057
3016287,113,40,nospec,6385336,2709416
3018227,122,18,ameneb,6374664,2712876
3007283,29,25,parane,6431828,2748285
13054065,11,6,gobbre,5715887,2493688
3009175,93,30,parcur,6423800,2678500
14028492,21,58,saltru,5567466,2336318
7048215,6,10,angaus,6054900,2694600
7017868,160,510,parane,6192600,2710700
7046849,31,160,saltru,6060300,2711900
11017829,10,5,galarg,5969500,2589400
12037003,1,2,angdie,5805867,2324402
14041928,200,600,parcur,5538247,2278443
14038172,180,480,saltru,5547107,2283432
14041684,258,940,galspd,5538843,2258673
2004196,0,0,parcur,6499800,2666800
14058483,0,20,angdie,5487600,2325200
7035283,163,292,saltru,6110818,2770703
1010457,9,60,chefos,6643000,2628200
13512205,187,750,galpau,5654964,2239029
6002605,5,30,angdie,6238000,2607700
13019252,129,720,parcur,5828029,2435785
9003856,2,5,anguil,6034570,2680841
15055249,50,30,gobcot,5431100,2161200
3004239,70,157,angdie,6451171,2703008
10011985,1,5,angdie,5988800,2529400
10012096,6,118,galbre,5988411,2534421
14050536,164,698,parane,5513514,2245389
13045815,23,10,geoaus,5743200,2477200
13038367,2,4,angdie,5767743,2485825
14023847,220,480,hyrmen,5577537,2260238
3016589,111,40,galarg,6383454,2708416
3029838,227,320,parcur,6322074,2726749
4025301,123,390,parcur,6283245,2844042
2006561,3,35,hyrmen,6470552,2652412
7013025,160,120,parane,6214100,2663500
14018787,233,580,gobiom,5590300,2255900
12027502,19,30,gobhut,5863500,2376100
3013157,84,12,angaus,6401412,2698821
2004225,3,20,angdie,6499412,2660948
NA,NA,NA,oncmyk,6520570,2621543
14031533,172,647,galano,5561002,2303215
9017581,12,210,gobhut,5964700,2702100
7045938,6,28,caraur,6063695,2700707
3016115,109,40,angaus,6385904,2708885
12026980,37,80,gobhut,5865900,2388200
14015868,285,595,oncmyk,5598808,2197915
NA,NA,NA,gobcot,5606082,2309452
12006012,17,40,angdie,5963273,2432038
12024000,1,5,gobcot,5880600,2370300
10011130,2,15,gobiom,5992000,2534500
7047059,28,140,parane,6059400,2710500
3000325,3,15,angdie,6510500,2733400
10001222,1,19,gobcot,6049743,2485131
12048324,38,750,galbre,5716500,2260900
12015211,63,80,saltru,5919500,2418300
NA,4,40,hyrmen,6366755,2825243
