Stratum,Penetration,Altitude,SpeciesCode,North,East
11031124,85,1200,hyrmen,5916050,2563600
12006171,29,110,parcur,5961966,2440825
0,44,80,gobcot,6330156,2845285
13508846,162,575,nospec,5674000,2294100
6003757,11,160,galpos,6230600,2601500
14051304,98,230,galano,5510805,2281602
3012542,79,10,cypcar,6406000,2700800
3017058,113,18,angdie,6380720,2709994
13009520,7,60,galmac,5866500,2554600
3024596,184,48,gobiom,6342600,2697375
13034238,0,6,angdie,5780898,2491588
13506233,194,920,parane,5691339,2315518
9009845,103,310,oncmyk,6008600,2736900
1005231,49,95,angdie,6670100,2550400
6008166,119,177,angdie,6205782,2647690
5001523,4,15,gobcot,6368100,2993600
15061871,7,14,gobiom,5398636,2170703
13062208,79,610,galvul,5678856,2324708
13511419,144,480,parcur,5659415,2276728
11018038,49,150,angdie,5968800,2559900
7002623,307,190,gobiom,6270900,2699400
7036504,88,65,angaus,6106000,2724900
15053692,0,0,aldfor,5436900,2024400
3014329,92,15,gobcot,6395500,2705600
4009992,6,15,angaus,6342960,2888120
11012132,22,60,gobhut,5988300,2556100
15051115,80,107,angdie,5443430,2183176
10005904,0,40,hyrmen,6018440,2510435
6008530,101,160,gobbas,6204343,2633652
1009070,10,72,nospec,6649937,2571963
14062285,5,10,angdie,5475014,2309801
10011579,13,130,angdie,5990812,2540138
3000401,0,5,gobhut,6507200,2737400
1027300,1,20,gamaff,6540769,2615515
14058877,50,355,galeld,5486534,2312760
2002767,7,30,galmac,6516800,2657300
4004321,0,0,parcur,6365300,2832600
12003603,9,30,saltru,5988800,2439300
3000102,0,20,angaus,6517100,2719200
14041001,252,795,galaxi,5540852,2188851
1025218,8,52,angaus,6566972,2626583
14064925,77,104,angaus,5463586,2257657
12010326,97,190,gobbre,5937400,2448900
13063833,31,110,saltru,5666600,2354100
13506654,190,850,galpau,5688679,2315571
2004196,0,0,retret,6499800,2666800
12032160,2,10,parcur,5836200,2349600
4018355,62,160,angdie,6317200,2843100
14037958,6,39,saltru,5547738,2337069
12006210,9,38,angdie,5960625,2426572
14039782,303,680,galsps,5543600,2144300
1008869,26,80,gobbas,6651500,2591900
13058655,75,615,saltru,5699648,2348908
7006389,275,285,gobbas,6246300,2719100
14064380,0,59,galaxi,5466011,2298606
3012951,80,13,angaus,6403540,2701832
2005154,0,20,gobiom,6488100,2696500
2001026,6,80,angdie,6543800,2665400
3009666,73,130,parane,6421500,2756000
3013157,83,11,gobcot,6401513,2699606
14072335,1,20,parane,5416000,2263100
13009319,1,19,angdie,5866415,2561898
12012596,18,40,galpos,5929170,2400655
15059618,77,98,galsps,5414319,2211729
1000794,2,10,gobgob,6734100,2504800
3015193,105,24,galarg,6390722,2712936
9013261,4,80,angdie,5993850,2658600
13061646,18,90,angdie,5681900,2383700
15059752,27,39,galaxi,5412384,2174114
2003834,1,28,galfas,6503777,2664247
4019036,68,150,oncmyk,6312219,2840333
6010568,38,190,galfas,6193700,2632000
14019698,284,500,saltru,5587600,2196000
12024696,42,70,gobhut,5876600,2389500
7049035,17,180,salmo,6049813,2701712
9011569,44,180,saltru,6001700,2684700
14035482,156,335,saltru,5552755,2293805
13520905,67,205,galvul,5607400,2311300
3003286,31,560,anguil,6458724,2751540
13507402,185,793,galvul,5685352,2314084
13519170,86,610,hyrmen,5619745,2313086
3005452,16,60,galfas,6440900,2758400
0,16,50,nospec,5586270,2349841
2006041,1,30,nospec,6476485,2657289
12025063,44,90,galdiv,5875600,2393700
13063387,38,140,gobbre,5668700,2349600
4006288,8,60,gobcot,6355900,2914700
3000012,2,27,galaxi,6521655,2722322
9011409,6,88,parane,6002015,2661823
10013065,2,20,angdie,5984703,2526815
0,49,470,angdie,6216400,2610400
1024104,19,75,angdie,6574549,2633319
15061532,11,6,galarg,5399494,2176731
14027076,196,420,gobbre,5569700,2235500
1007263,10,110,galfas,6657898,2573068
3020287,136,70,saltru,6364500,2764000
2005978,11,60,angdie,6477000,2650000
2008073,39,170,angaus,6456722,2700222
4019019,67,150,gobcot,6312815,2841220
13516746,122,427,gobbre,5632332,2273719
7003019,274,240,gobbas,6268400,2709900
14028492,21,58,galcob,5567455,2336065
13065453,54,380,gobbre,5651600,2338000
3008315,33,10,hyrmen,6427613,2745081
10009633,6,40,anguil,5999148,2543411
NA,NA,NA,caraur,6520570,2621543
3021441,144,50,angaus,6358700,2713800
3033927,16,90,parane,6309477,2661450
7048291,17,100,galpos,6054600,2703500
2007958,0,6,parane,6457940,2675240
3024075,172,190,oncmyk,6344900,2763200
13516552,126,410,gobcot,5633200,2270300
6008378,19,340,saltru,6201700,2596900
14062099,44,490,salfon,5475900,2278400
14029204,25,77,nospec,5566199,2334036
4012621,49,140,oncmyk,6335100,2822600
0,8,100,gobcot,6223200,2588500
4003155,20,130,parcur,6371600,2775800
6005303,35,440,parane,6219500,2607900
13062111,50,240,angdie,5678800,2348200
6005065,25,330,anguil,6223206,2606655
4005896,6,10,gobhut,6357400,2839700
14050130,249,830,saltru,5515200,2271000
4001685,2,10,galmac,6380108,2787083
2008331,36,170,angaus,6454470,2699600
13050464,65,375,saltru,5727280,2384045
11009446,37,60,angdie,6000000,2562400
9011520,35,3,galmac,6001800,2704300
14062481,41,505,galpul,5474640,2278079
1010353,34,210,neohel,6642821,2588777
9004873,1,13,angaus,6030497,2677882
4005043,6,40,angaus,6361300,2830200
4006069,5,3,gobgob,6356500,2848700
0,33,2,gobcot,6418700,2740600
3012541,78,11,retret,6404718,2700638
5013842,37,112,galbre,6256960,2926106
2003052,2,20,parane,6513100,2659900
12031167,53,90,angdie,5842500,2387300
13507044,189,840,hyrmen,5687753,2315417
14020191,234,960,parcur,5586300,2241800
3017057,112,23,gobhut,6380274,2710499
2001696,6,44,angaus,6533009,2658255
3017882,128,40,gobcot,6376182,2716679
3007191,35,10,parane,6433000,2686000
12040993,9,5,galmac,5776100,2286600
15048468,28,45,angdie,5451100,2100800
3012434,78,13,angaus,6405089,2700828
13524507,1,1,gobgob,5584000,2363000
1008041,5,4,angdie,6655486,2570356
14058877,50,355,galeld,5485553,2312357
13051608,29,7,gobcot,5723021,2473242
3007666,24,9,angaus,6430615,2744943
0,13,80,angdie,6526700,2657900
14045363,156,408,galbre,5530222,2217898
13009210,21,274,gobcot,5868021,2543046
2003019,2,20,gobhut,6513900,2660650
3007572,21,10,gamaff,6431100,2675100
13056853,0,0,gobhut,5708000,2505600
10011749,1,22,angdie,5989525,2530954
13046584,121,641,galpro,5740958,2329293
13037879,0,3,galmac,5769137,2486602
3015715,103,15,galmac,6387422,2703827
8019690,64,210,angdie,6206500,2826100
8014212,4,1,anguil,6230200,2905800
14072759,10,10,gobcot,5411800,2252600
13511137,148,519,saltru,5660905,2273633
15049604,48,65,saltru,5445771,2120767
2005514,4,40,parcur,6483100,2652300
14019211,224,280,nospec,5589600,2219400
3003838,5,30,gobcot,6454300,2764900
12022238,67,140,saltru,5889300,2404100
12042092,10,50,galpos,5768500,2286200
1008264,30,139,gobiom,6653918,2588383
13502998,213,725,galbre,5715300,2311200
2005777,3,50,parcur,6478700,2653600
14041943,140,417,galano,5538793,2292684
12028192,12,30,gobhut,5859700,2371100
1025150,10,44,galfas,6568190,2628487
3014572,94,15,gamaff,6393200,2700700
14065805,99,126,parane,5458840,2218813
15034889,103,310,gobbre,5485500,2129800
3003660,3,40,parane,6455600,2765300
4002226,7,15,galfas,6376600,2785200
13510725,161,520,gobbre,5663547,2307635
13004942,232,1020,galspn,5886100,2504700
0,0,5,gobhut,6492620,2749048
13504335,204,1080,galpro,5704234,2297474
14069235,116,160,galaxi,5440592,2213200
7045750,5,20,angdie,6064832,2698665
13058486,0,3,chefos,5701000,2445700
14014822,252,740,oncmyk,5601939,2263390
15012843,0,5,galbre,5544166,2037605
3017882,128,40,parane,6376182,2716679
15000860,3,1,retret,5635800,2113000
3036016,114,140,neodiv,6303215,2689142
2005738,6,50,galfas,6479800,2649800
14040432,150,440,galdep,5542191,2302562
14032872,9,10,gobcot,5558400,2340200
2006990,5,120,angdie,6466100,2644300
13051142,72,440,gobbre,5724700,2375300
3015297,107,25,parane,6389900,2713100
1010353,34,210,nospec,6642768,2588784
3026834,205,50,retret,6333416,2712825
15054780,14,80,saltru,5433100,2065800
3023556,184,145,gobcot,6347800,2759295
3017057,112,23,angaus,6380274,2710499
15021682,0,5,gobhut,5518120,2029648
1010353,34,210,nospec,6642821,2588777
2003099,2,18,galfas,6512900,2660200
13035357,117,720,oncmyk,5777194,2404968
13039605,141,610,parcur,5763200,2358800
12030093,101,200,galbre,5849000,2400100
8025568,0,6,angaus,6166360,2852342
4000089,6,30,gobhut,6411300,2768200
14072629,31,120,parane,5412600,2238600
1008374,3,48,gobhut,6653496,2607349
0,67,205,gobcot,5606100,2309500
15054636,1,2,retret,5433400,2092800
12035794,23,25,gobcot,5813900,2346900
10001434,4,60,parcur,6047633,2484359
14036781,300,650,parane,5549500,2138800
14051457,157,729,galspt,5509296,2240430
3039481,279,290,parcur,6292452,2789901
3013947,87,22,retret,6397770,2700250
1015696,124,91,neodiv,6619783,2621448
3007882,47,5,cypcar,6430000,2693198
14064277,27,352,saltru,5466535,2276362
3013041,82,13,gamaff,6402975,2699377
1006538,2,18,hyrmen,6663800,2603200
13046584,121,641,galbre,5740958,2329293
2005364,0,40,nospec,6486000,2664200
6014351,35,46,gobcot,6171846,2645778
14033219,222,560,parane,5557635,2257545
13058486,0,3,chefos,5701000,2445700
13047869,16,5,parane,5736647,2477664
15049679,50,59,angdie,5446734,2119244
14064840,69,53,angdie,5463873,2236940
9007826,85,70,angdie,6017278,2719899
12030118,16,80,gobhub,5849200,2368000
3015147,70,19,angaus,6390800,2734400
7047302,25,100,gobbre,6058200,2708500
12048606,3,40,angdie,5714845,2209910
0,1,0,gobiom,6509120,2735670
3032527,218,172,gobcot,6312814,2753894
15057965,34,65,angdie,5421785,2175832
3018208,124,15,oncmyk,6374000,2714900
3016930,114,18,galaxi,6381106,2710435
13507779,193,605,galbre,5682933,2254564
13038367,2,4,gobiom,5767743,2485825
13048098,103,500,gobbre,5734942,2341684
14047832,144,135,saltru,5522900,2221900
12045558,18,20,galarg,5741400,2255000
3007122,10,30,anguil,6433100,2716550
14043209,130,386,nospec,5535629,2292083
13067601,4,3,gobcot,5621953,2364091
13039609,85,451,angdie,5763251,2417671
14057140,1,2,gobhub,5492500,2320900
7040881,79,80,angdie,6084688,2735411
1018445,2,9,parcur,6607797,2629721
2003361,3,20,parane,6509300,2673700
13058486,0,2,onctsh,5700700,2446400
4001746,1,10,galmac,6379800,2932400
14067523,28,90,parane,5450300,2280600
13060858,0,26,gobbre,5682042,2410640
13033246,1,2,gobcot,5784100,2493100
14013199,260,425,saltru,5607100,2234700
0,0,1,parcur,6375300,2678800
13044998,29,25,scaery,5746200,2474900
14062339,42,552,galpul,5475126,2279349
1020188,7,78,galgra,6599056,2570477
0,30,95,angaus,5589163,2337538
13037879,0,3,galmac,5769299,2486606
7048087,187,320,saltru,6055500,2725900
13037671,58,270,gobbre,5767731,2440553
3010099,66,9,cypcar,6419389,2705982
3012542,79,10,cypcar,6405700,2700600
12031355,4,24,angdie,5841000,2356100
3000128,0,5,gobhut,6516600,2732700
13064169,13,25,parcur,5664170,2370588
13512205,187,750,hyrmen,5654964,2239029
13504074,206,1122,galpau,5706213,2297618
3018922,143,41,angaus,6371370,2705829
14020669,227,465,saltru,5583640,2260800
14073929,0,29,parane,5397563,2237859
14029204,25,77,galvul,5566073,2333937
11017427,22,40,galmac,5970100,2577100
15016693,187,595,galpau,5531440,2134567
1010353,34,210,neohel,6642821,2588777
15023494,199,408,galsps,5513316,2155455
2005787,0,20,galfas,6479100,2672500
3023515,171,30,oncmyk,6348100,2700000
10002611,3,8,galmac,6038965,2494420
1013099,38,141,gobcot,6631145,2585960
2005978,11,55,parane,6477000,2650000
0,33,5,gobcot,6417000,2734000
14060527,69,516,saltru,5481465,2255530
9009883,1,69,galfas,6007024,2668752
14052257,7,5,galmac,5508400,2324600
3013040,82,27,scaery,6401455,2698592
13064793,9,15,gobbre,5659000,2371600
NA,NA,NA,angaus,5734888,2474221
9000896,3,10,chefos,6046613,2690276
14054540,106,70,saltru,5499900,2229300
2003019,2,15,parane,6513900,2660650
10000140,2,55,parane,6072400,2476500
7046324,9,12,gobiom,6062484,2700073
12035837,5,8,angaus,5813480,2332803
14024384,222,765,saltru,5576414,2234487
2004807,6,40,galaxi,6492692,2666241
3039365,99,75,hyrmen,6292687,2681085
4002578,0,0,galmac,6374700,2816600
9005308,16,140,anguil,6027900,2685200
14072191,1,60,gobcot,5417750,2261448
14037255,9,52,gobbre,5548682,2335767
